date,rate
2018-11-26,2.3775
2018-11-27,2.3771
2018-11-28,2.3704
2018-11-29,2.3616
2018-11-30,2.3654
2018-12-03,2.379
2018-12-04,2.4034
2018-12-06,2.3962
2018-12-07,2.3909
2018-12-10,2.3922
2018-12-11,2.3946
2018-12-12,2.4063
2018-12-13,2.4026
2018-12-14,2.4184
2018-12-17,2.4049
2018-12-18,2.3925
2018-12-19,2.4096
2018-12-20,2.413
2018-12-21,2.4142
2018-12-24,2.4135
2018-12-26,2.4186
2018-12-27,2.4166
2018-12-28,2.4058
2018-12-31,2.4042
2019-01-02,2.3895
2019-01-03,2.3919
2019-01-04,2.4058
2019-01-07,2.4127
2019-01-08,2.4243
2019-01-09,2.4213
2019-01-10,2.4232
2019-01-11,2.4222
2019-01-14,2.4234
2019-01-15,2.4171
2019-01-16,2.406
2019-01-17,2.4005
2019-01-18,2.4002
2019-01-22,2.4034
2019-01-23,2.3997
2019-01-24,2.3881
2019-01-25,2.3964
2019-01-28,2.4008
2019-01-29,2.4063
2019-01-30,2.4111
2019-01-31,2.4085
2019-02-01,2.4072
2019-02-04,2.4053
2019-02-05,2.4037
2019-02-06,2.4102
2019-02-07,2.4062
2019-02-08,2.4208
2019-02-11,2.4335
2019-02-12,2.4258
2019-02-13,2.4273
2019-02-14,2.4239
2019-02-15,2.4232
2019-02-19,2.4257
2019-02-20,2.4261
2019-02-21,2.4336
2019-02-22,2.4377
2019-02-25,2.4448
2019-02-26,2.4402
2019-02-27,2.4365
2019-02-28,2.4378
2019-03-01,2.4363
2019-03-04,2.4404
2019-03-05,2.4402
2019-03-06,2.4421
2019-03-07,2.4382
2019-03-08,2.4368
2019-03-11,2.4351
2019-03-12,2.4365
2019-03-13,2.4376
2019-03-14,2.4402
2019-03-15,2.4411
2019-03-18,2.4401
2019-03-19,2.447
2019-03-20,2.4526
2019-03-21,2.4511
2019-03-22,2.4412
2019-03-25,2.4484
2019-03-26,2.4478
2019-03-27,2.4317
2019-03-28,2.4217
2019-03-29,2.4022
2019-04-01,2.4009
2019-04-02,2.3983
2019-04-03,2.4057
2019-04-04,2.409
2019-04-05,2.4113
2019-04-08,2.4138
2019-04-09,2.4103
2019-04-10,2.4067
2019-04-11,2.4086
2019-04-12,2.4117
2019-04-15,2.4065
2019-04-16,2.4143
2019-04-17,2.4244
2019-04-18,2.4181
2019-04-22,2.4262
2019-04-23,2.4248
2019-04-24,2.4189
2019-04-25,2.4193
2019-04-26,2.418
2019-04-29,2.4253
2019-04-30,2.417
2019-05-01,2.4084
2019-05-02,2.4132
2019-05-03,2.4153
2019-05-06,2.4119
2019-05-07,2.4128
2019-05-08,2.4149
2019-05-09,2.412
2019-05-10,2.4124
2019-05-13,2.4006
2019-05-14,2.4019
2019-05-15,2.397
2019-05-16,2.387
2019-05-17,2.3814
2019-05-20,2.3719
2019-05-21,2.3683
2019-05-22,2.3555
2019-05-23,2.341
2019-05-24,2.3415
2019-05-28,2.3475
2019-05-29,2.3486
2019-05-30,2.3575
2019-05-31,2.3398
2019-06-03,2.3319
2019-06-04,2.3301
2019-06-05,2.3095
2019-06-06,2.2855
2019-06-07,2.253
2019-06-10,2.2585
2019-06-11,2.2452
