date,rate
2019-06-12,2.2026
2019-06-13,2.1748
2019-06-14,2.166
2019-06-17,2.1828
2019-06-18,2.1821
2019-06-19,2.1409
2019-06-20,2.0989
2019-06-21,2.0965
2019-06-24,2.0902
2019-06-25,2.0956
2019-06-26,2.1155
2019-06-27,2.1133
2019-06-28,2.0943
2019-07-01,2.1136
2019-07-02,2.1328
2019-07-03,2.1516
2019-07-05,2.168
2019-07-08,2.1844
2019-07-09,2.1905
2019-07-10,2.1352
2019-07-11,2.1162
2019-07-12,2.1205
2019-07-15,2.1135
2019-07-16,2.1094
2019-07-17,2.0784
2019-07-18,2.0145
2019-07-19,2.0424
2019-07-22,2.0565
2019-07-23,2.0642
2019-07-24,2.0763
2019-07-25,2.0953
2019-07-26,2.1052
2019-07-29,2.0996
2019-07-30,2.0803
2019-07-31,2.0599
2019-08-01,2.0727
2019-08-02,2.0491
2019-08-05,2.0147
2019-08-06,2.0207
2019-08-07,1.9908
2019-08-08,1.985
2019-08-09,1.9728
2019-08-12,1.9593
2019-08-13,1.9614
2019-08-14,1.9159
2019-08-15,1.873
2019-08-16,1.8572
2019-08-19,1.8871
2019-08-20,1.8932
2019-08-21,1.9226
2019-08-22,1.9366
2019-08-23,1.912
2019-08-26,1.9374
2019-08-27,1.9448
2019-08-28,1.9543
2019-08-29,1.9615
2019-08-30,1.9564
2019-09-03,1.947
2019-09-04,1.9437
2019-09-05,1.9504
2019-09-06,1.9414
2019-09-09,1.934
2019-09-10,1.9389
2019-09-11,1.9353
2019-09-12,1.9346
2019-09-13,1.9473
2019-09-16,1.9699
2019-09-17,1.9876
2019-09-18,1.9316
2019-09-19,1.9232
2019-09-20,1.9006
2019-09-23,1.9022
2019-09-24,1.8891
2019-09-25,1.8643
2019-09-26,1.8144
2019-09-27,1.7961
2019-09-30,1.817
2019-10-01,1.7744
2019-10-02,1.7308
2019-10-03,1.6975
2019-10-04,1.6942
2019-10-07,1.7067
2019-10-08,1.6773
2019-10-09,1.6648
2019-10-10,1.6603
2019-10-11,1.6644
2019-10-15,1.6597
2019-10-16,1.6454
2019-10-17,1.6473
2019-10-18,1.6488
2019-10-21,1.6457
2019-10-22,1.645
2019-10-23,1.6443
2019-10-24,1.6607
2019-10-25,1.661
2019-10-28,1.6451
2019-10-29,1.6195
2019-10-30,1.5849
2019-10-31,1.5405
2019-11-01,1.5267
2019-11-04,1.5411
2019-11-05,1.5411
2019-11-06,1.5363
2019-11-07,1.5398
2019-11-08,1.5437
2019-11-12,1.5592
2019-11-13,1.5596
2019-11-14,1.5526
2019-11-15,1.5544
2019-11-18,1.5553
2019-11-19,1.5531
2019-11-20,1.555
2019-11-21,1.5583
2019-11-22,1.5714
2019-11-25,1.5808
2019-11-26,1.5857
2019-11-27,1.5911
2019-11-29,1.5854
2019-12-02,1.5729
2019-12-03,1.5547
2019-12-04,1.5396
2019-12-05,1.5247
2019-12-06,1.5211
2019-12-09,1.5296
2019-12-10,1.535
2019-12-11,1.5467
2019-12-12,1.5478
2019-12-13,1.556
2019-12-16,1.5603
2019-12-17,1.5601
2019-12-18,1.5592
2019-12-19,1.5611
2019-12-20,1.5675
2019-12-23,1.5691
2019-12-24,1.569
2019-12-26,1.5673
2019-12-27,1.5455
2019-12-30,1.5404
2019-12-31,1.535
2020-01-02,1.5222
2020-01-03,1.5142
2020-01-06,1.5248
2020-01-07,1.5188
2020-01-08,1.5206
2020-01-09,1.5258
2020-01-10,1.5283
2020-01-13,1.5416
2020-01-14,1.5508
2020-01-15,1.5566
2020-01-16,1.5463
2020-01-17,1.5503
2020-01-21,1.544
2020-01-22,1.5387
2020-01-23,1.5446
2020-01-24,1.5295
2020-01-27,1.5352
2020-01-28,1.5541
2020-01-29,1.5486
2020-01-30,1.5602
2020-01-31,1.5513
2020-02-03,1.5588
2020-02-04,1.5567
2020-02-05,1.5508
2020-02-06,1.5602
2020-02-07,1.5577
2020-02-10,1.557
2020-02-11,1.5617
2020-02-12,1.5659
2020-02-13,1.5722
2020-02-14,1.5706
2020-02-18,1.5713
2020-02-19,1.5701
2020-02-20,1.5669
2020-02-21,1.5509
2020-02-24,1.5356
2020-02-25,1.5264
2020-02-26,1.5142
2020-02-27,1.4371
2020-02-28,1.2783
2020-03-02,1.1963
2020-03-03,0.9519
2020-03-04,0.7524
2020-03-05,0.6405
2020-03-06,0.5126
2020-03-09,0.4009
2020-03-10,0.4655
2020-03-11,0.4237
2020-03-12,0.3336
2020-03-13,0.2834
2020-03-16,0.2206
2020-03-17,0.1701
2020-03-18,0.027
2020-03-19,0.0328
2020-03-20,0.017
2020-03-23,0.0117
2020-03-24,0.0087
2020-03-25,-0.0273
2020-03-26,-0.0312
2020-03-27,0.0012
2020-03-30,0.0589
2020-03-31,0.098
2020-04-01,0.0763
2020-04-02,0.0804
2020-04-03,0.0938
2020-04-06,0.1108
2020-04-07,0.1336
2020-04-08,0.1767
2020-04-09,0.2244
2020-04-13,0.2277
2020-04-14,0.1763
2020-04-15,0.1524
2020-04-16,0.1372
2020-04-17,0.1174
2020-04-20,0.103
2020-04-21,0.092
2020-04-22,0.0951
2020-04-23,0.1025
2020-04-24,0.1112
2020-04-27,0.1099
2020-04-28,0.0971
2020-04-29,0.0994
2020-04-30,0.0985
2020-05-01,0.108
2020-05-04,0.1017
2020-05-05,0.1113
2020-05-06,0.1108
2020-05-07,0.1086
2020-05-08,0.1129
2020-05-11,0.1204
2020-05-12,0.1251
2020-05-13,0.1173
2020-05-14,0.1165
2020-05-15,0.1104
2020-05-18,0.1153
2020-05-19,0.1147
2020-05-20,0.1143
2020-05-21,0.1149
2020-05-22,0.1168
2020-05-26,0.1246
2020-05-27,0.1418
2020-05-28,0.1474
2020-05-29,0.1452
2020-06-01,0.1422
2020-06-02,0.1421
2020-06-03,0.146
2020-06-04,0.1438
2020-06-05,0.1477
2020-06-08,0.1615
2020-06-09,0.1651
2020-06-10,0.1668
2020-06-11,0.1638
2020-06-12,0.1645
2020-06-15,0.1645
2020-06-16,0.1642
2020-06-17,0.1565
2020-06-18,0.147
2020-06-19,0.1451
2020-06-22,0.1481
2020-06-23,0.1405
2020-06-24,0.1381
2020-06-25,0.1407
2020-06-26,0.1409
2020-06-29,0.1389
2020-06-30,0.138
2020-07-01,0.1382
2020-07-02,0.1395
2020-07-06,0.1402
2020-07-07,0.1392
2020-07-08,0.1341
2020-07-09,0.1292
2020-07-10,0.128
2020-07-13,0.1331
2020-07-14,0.1332
2020-07-15,0.1282
2020-07-16,0.1147
2020-07-17,0.1158
2020-07-20,0.1168
2020-07-21,0.111
2020-07-22,0.1101
2020-07-23,0.108
2020-07-24,0.1082
2020-07-27,0.1066
2020-07-28,0.1041
2020-07-29,0.1011
2020-07-30,0.0936
2020-07-31,0.0932
2020-08-03,0.092
2020-08-04,0.092
2020-08-05,0.0952
2020-08-06,0.0935
2020-08-07,0.0924
2020-08-10,0.0953
2020-08-11,0.0997
2020-08-12,0.1018
2020-08-13,0.0977
2020-08-14,0.0969
2020-08-17,0.0961
2020-08-18,0.095
2020-08-19,0.0921
2020-08-20,0.0903
2020-08-21,0.0927
2020-08-24,0.0936
2020-08-25,0.093
2020-08-26,0.0924
2020-08-27,0.0932
2020-08-28,0.0958
2020-08-31,0.1003
2020-09-01,0.0996
2020-09-02,0.1031
2020-09-03,0.1029
2020-09-04,0.1065
2020-09-08,0.1104
2020-09-09,0.1095
2020-09-10,0.1104
2020-09-11,0.1095
2020-09-14,0.1076
2020-09-15,0.1031
2020-09-16,0.0995
2020-09-17,0.0943
2020-09-18,0.0935
2020-09-21,0.0915
2020-09-22,0.0898
2020-09-23,0.0903
2020-09-24,0.0912
2020-09-25,0.0932
2020-09-28,0.0919
2020-09-29,0.0898
2020-09-30,0.0938
2020-10-01,0.0893
2020-10-02,0.0906
2020-10-05,0.0911
2020-10-06,0.0922
2020-10-07,0.0936
2020-10-08,0.0957
2020-10-09,0.0993
2020-10-13,0.0989
2020-10-14,0.0998
2020-10-15,0.099
2020-10-16,0.0967
2020-10-19,0.0979
2020-10-20,0.0971
2020-10-21,0.0945
2020-10-22,0.0933
2020-10-23,0.0934
2020-10-26,0.0902
2020-10-27,0.09
2020-10-28,0.0911
2020-10-29,0.09
2020-10-30,0.0898
2020-11-02,0.0891
2020-11-03,0.0901
2020-11-04,0.0865
2020-11-05,0.0851
2020-11-06,0.0876
2020-11-09,0.0913
2020-11-10,0.0896
2020-11-12,0.0879
2020-11-13,0.0876
2020-11-16,0.0852
2020-11-17,0.0819
2020-11-18,0.0753
2020-11-19,0.0675
2020-11-20,0.0698
2020-11-23,0.0745
2020-11-24,0.0782
2020-11-25,0.0816
2020-11-27,0.0781
2020-11-30,0.0804
2020-12-01,0.0803
2020-12-02,0.0786
2020-12-03,0.0791
2020-12-04,0.0793
2020-12-07,0.0788
2020-12-08,0.0748
2020-12-09,0.0755
2020-12-10,0.0739
2020-12-11,0.0739
2020-12-14,0.0729
2020-12-15,0.076
2020-12-16,0.0796
2020-12-17,0.0817
2020-12-18,0.082
2020-12-21,0.0818
2020-12-22,0.0778
2020-12-23,0.0802
2020-12-24,0.0825
2020-12-28,0.0886
2020-12-29,0.0903
2020-12-30,0.0752
2020-12-31,0.0746
2021-01-04,0.0755
2021-01-05,0.0772
2021-01-06,0.0814
2021-01-07,0.0825
2021-01-08,0.0803
2021-01-11,0.0826
2021-01-12,0.0829
2021-01-13,0.0823
2021-01-14,0.0796
2021-01-15,0.0793
2021-01-19,0.0803
2021-01-20,0.0793
2021-01-21,0.0748
2021-01-22,0.0757
2021-01-25,0.074
2021-01-26,0.068
2021-01-27,0.0634
2021-01-28,0.0607
2021-01-29,0.0556
2021-02-01,0.0564
2021-02-02,0.0501
2021-02-03,0.0446
2021-02-04,0.0355
2021-02-05,0.0287
2021-02-08,0.0324
2021-02-09,0.035
2021-02-10,0.0384
2021-02-11,0.0385
2021-02-12,0.0391
2021-02-16,0.0407
2021-02-17,0.0385
2021-02-18,0.0299
2021-02-19,0.0277
2021-02-22,0.0284
2021-02-23,0.0289
2021-02-24,0.0317
2021-02-25,0.0378
2021-02-26,0.0377
2021-03-01,0.0354
2021-03-02,0.0394
2021-03-03,0.0387
2021-03-04,0.0335
2021-03-05,0.0374
2021-03-08,0.0415
2021-03-09,0.0378
2021-03-10,0.0344
2021-03-11,0.0334
2021-03-12,0.0308
2021-03-15,0.0216
2021-03-16,0.0163
2021-03-17,0.0134
2021-03-18,0.0066
2021-03-19,0.0074
2021-03-22,0.0078
2021-03-23,0.0132
2021-03-24,0.0145
2021-03-25,0.0142
2021-03-26,0.0164
2021-03-29,0.0133
2021-03-30,0.0113
2021-03-31,0.0121
2021-04-01,0.014
2021-04-02,0.0145
2021-04-05,0.0163
2021-04-06,0.0156
2021-04-07,0.0139
2021-04-08,0.0122
2021-04-09,0.0127
2021-04-12,0.0147
2021-04-13,0.0157
2021-04-14,0.0153
2021-04-15,0.0147
2021-04-16,0.014
2021-04-19,0.0171
2021-04-20,0.0169
2021-04-21,0.0153
2021-04-22,0.0153
2021-04-23,0.0158
2021-04-26,0.0153
2021-04-27,0.0121
2021-04-28,0.01
2021-04-29,0.008
2021-04-30,0.0095
2021-05-03,0.0108
2021-05-04,0.013
2021-05-05,0.0125
2021-05-06,0.0116
2021-05-07,0.0125
2021-05-10,0.0108
2021-05-11,0.0098
2021-05-12,0.0094
2021-05-13,0.0086
2021-05-14,0.0067
2021-05-17,0.0084
2021-05-18,0.0077
2021-05-19,0.0066
2021-05-20,0.0056
2021-05-21,0.0059
2021-05-24,0.0089
2021-05-25,0.0104
2021-05-26,0.0069
2021-05-27,0.0073
2021-05-28,0.0097
2021-06-01,0.0126
2021-06-02,0.0121
2021-06-03,0.0148
2021-06-04,0.0152
2021-06-07,0.0161
2021-06-08,0.016
2021-06-09,0.0169
2021-06-10,0.0173
2021-06-11,0.0175
2021-06-14,0.017
2021-06-15,0.018
2021-06-16,0.0323
2021-06-17,0.0365
2021-06-18,0.0422
2021-06-21,0.0405
2021-06-22,0.0401
2021-06-23,0.0405
2021-06-24,0.0458
2021-06-25,0.0465
2021-06-28,0.0459
2021-06-29,0.0419
2021-06-30,0.044
2021-07-01,0.0451
2021-07-02,0.045
2021-07-06,0.0462
2021-07-07,0.0466
2021-07-08,0.0464
2021-07-09,0.0469
2021-07-12,0.0466
2021-07-13,0.0474
2021-07-14,0.0472
2021-07-15,0.0451
2021-07-16,0.0448
2021-07-19,0.0434
2021-07-20,0.0435
2021-07-21,0.0433
2021-07-22,0.0438
2021-07-23,0.0449
2021-07-26,0.0452
2021-07-27,0.0444
2021-07-28,0.045
2021-07-29,0.0451
2021-07-30,0.0461
2021-08-02,0.0451
2021-08-03,0.0457
2021-08-04,0.0466
2021-08-05,0.0472
2021-08-06,0.0465
2021-08-09,0.0475
2021-08-10,0.0491
2021-08-11,0.0498
2021-08-12,0.0481
2021-08-13,0.0499
2021-08-16,0.0552
2021-08-17,0.0554
2021-08-18,0.0531
2021-08-19,0.047
2021-08-20,0.0456
2021-08-23,0.0464
2021-08-24,0.0463
2021-08-25,0.046
2021-08-26,0.0462
2021-08-27,0.0463
2021-08-30,0.0457
2021-08-31,0.0436
2021-09-01,0.0411
2021-09-02,0.0428
2021-09-03,0.0451
2021-09-07,0.0443
2021-09-08,0.0467
2021-09-09,0.0462
2021-09-10,0.0469
2021-09-13,0.046
2021-09-14,0.0438
2021-09-15,0.0436
2021-09-16,0.0403
2021-09-17,0.0391
2021-09-20,0.0315
2021-09-21,0.0213
2021-09-22,0.0277
2021-09-23,0.0308
2021-09-24,0.0316
2021-09-27,0.0308
2021-09-28,0.031
2021-09-29,0.0321
2021-09-30,0.0342
2021-10-01,0.0352
2021-10-04,0.036
2021-10-05,0.0361
2021-10-06,0.0414
2021-10-07,0.0558
2021-10-08,0.0558
2021-10-12,0.0499
2021-10-13,0.0507
2021-10-14,0.052
2021-10-15,0.0547
2021-10-18,0.0563
2021-10-19,0.0556
2021-10-20,0.0538
2021-10-21,0.0571
2021-10-22,0.0615
2021-10-25,0.0581
2021-10-26,0.0582
2021-10-27,0.0554
2021-10-28,0.0552
2021-10-29,0.0578
2021-11-01,0.0522
2021-11-02,0.0498
2021-11-03,0.0505
2021-11-04,0.045
2021-11-05,0.0463
2021-11-08,0.0453
2021-11-09,0.0442
2021-11-10,0.0477
2021-11-12,0.0471
2021-11-15,0.0438
2021-11-16,0.0438
2021-11-17,0.0463
2021-11-18,0.0463
2021-11-19,0.0479
2021-11-22,0.0461
2021-11-23,0.046
2021-11-24,0.0537
2021-11-26,0.0476
2021-11-29,0.0468
2021-11-30,0.0495
2021-12-01,0.0494
2021-12-02,0.0478
2021-12-03,0.0482
2021-12-06,0.0517
2021-12-07,0.0575
2021-12-08,0.0562
2021-12-09,0.0517
2021-12-10,0.0532
2021-12-13,0.0519
2021-12-14,0.0509
2021-12-15,0.0485
2021-12-16,0.0458
2021-12-17,0.0464
2021-12-20,0.0517
2021-12-21,0.0519
2021-12-22,0.0527
2021-12-23,0.0583
2021-12-27,0.0619
2021-12-28,0.0503
2021-12-29,0.0517
2021-12-30,0.0522
2021-12-31,0.0586
2022-01-03,0.0695
2022-01-04,0.0688
2022-01-05,0.0751
2022-01-06,0.0825
2022-01-07,0.0861
2022-01-10,0.0993
2022-01-11,0.1034
2022-01-12,0.1044
2022-01-13,0.1091
2022-01-14,0.1172
2022-01-18,0.1455
2022-01-19,0.1494
2022-01-20,0.153
2022-01-21,0.1539
2022-01-24,0.1596
2022-01-25,0.1675
2022-01-26,0.1753
2022-01-27,0.1813
2022-01-28,0.1803
2022-01-31,0.198
2022-02-01,0.1805
2022-02-02,0.1804
2022-02-03,0.1899
2022-02-04,0.2272
2022-02-07,0.2342
2022-02-08,0.2389
2022-02-09,0.2468
2022-02-10,0.3767
2022-02-11,0.3409
2022-02-14,0.3551
2022-02-15,0.3463
2022-02-16,0.3316
2022-02-17,0.3217
2022-02-18,0.319
2022-02-22,0.3381
2022-02-23,0.3295
2022-02-24,0.3028
2022-02-25,0.3242
2022-02-28,0.3328
2022-03-01,0.3081
2022-03-02,0.3304
2022-03-03,0.3447
2022-03-04,0.3337
2022-03-07,0.3447
2022-03-08,0.3533
2022-03-09,0.3754
2022-03-10,0.3792
2022-03-11,0.3963
2022-03-14,0.4306
2022-03-15,0.4336
2022-03-16,0.4138
2022-03-17,0.3955
2022-03-18,0.4124
2022-03-21,0.4871
2022-03-22,0.4846
2022-03-23,0.444
2022-03-24,0.4689
2022-03-25,0.5011
2022-03-28,0.5227
2022-03-29,0.5099
2022-03-30,0.514
2022-03-31,0.5185
2022-04-01,0.5422
2022-04-04,0.5933
2022-04-05,0.61
2022-04-06,0.6269
2022-04-07,0.6338
2022-04-08,0.6523
2022-04-11,0.6892
2022-04-12,0.6846
2022-04-13,0.7011
2022-04-14,0.7418
2022-04-18,0.7722
2022-04-19,0.7816
2022-04-20,0.7751
2022-04-21,0.7913
2022-04-22,0.8113
2022-04-25,0.8278
2022-04-26,0.8282
2022-04-27,0.8302
2022-04-28,0.8232
2022-04-29,0.8554
2022-05-02,0.8617
2022-05-03,0.8863
2022-05-04,0.8872
2022-05-05,0.8389
2022-05-06,0.8614
2022-05-09,0.8657
2022-05-10,0.8755
2022-05-11,0.8961
2022-05-12,0.918
2022-05-13,0.9637
2022-05-16,1.0031
2022-05-17,1.0125
2022-05-18,1.0094
2022-05-19,1.0158
2022-05-20,1.0161
2022-05-23,1.0344
2022-05-24,1.0365
2022-05-25,1.0458
2022-05-26,1.0499
2022-05-27,1.0641
2022-05-31,1.0932
2022-06-01,1.1025
2022-06-02,1.1206
2022-06-03,1.1554
2022-06-06,1.2073
2022-06-07,1.2084
2022-06-08,1.2325
2022-06-09,1.2569
2022-06-10,1.3472
2022-06-13,1.6197
2022-06-14,1.7312
2022-06-15,1.6899
2022-06-16,1.573
2022-06-17,1.6345
2022-06-21,1.6289
2022-06-22,1.5572
2022-06-23,1.6057
2022-06-24,1.6713
2022-06-27,1.737
2022-06-28,1.742
2022-06-29,1.7393
2022-06-30,1.7416
2022-07-01,1.7706
2022-07-05,1.8083
2022-07-06,1.827
2022-07-07,1.8819
2022-07-08,1.9315
2022-07-11,2.0382
2022-07-12,2.0585
2022-07-13,2.2445
2022-07-14,2.2828
2022-07-15,2.3105
2022-07-18,2.3517
2022-07-19,2.3952
2022-07-20,2.3948
2022-07-21,2.3932
2022-07-22,2.3868
2022-07-25,2.4436
2022-07-26,2.4662
2022-07-27,2.4309
2022-07-28,2.3898
2022-07-29,2.4062
2022-08-01,2.4234
2022-08-02,2.4382
2022-08-03,2.4274
2022-08-04,2.4218
2022-08-05,2.4763
2022-08-08,2.5166
2022-08-09,2.5446
2022-08-10,2.5251
2022-08-11,2.5238
2022-08-12,2.5476
2022-08-15,2.5742
2022-08-16,2.5767
2022-08-17,2.5804
2022-08-18,2.611
2022-08-19,2.6259
2022-08-22,2.6877
2022-08-23,2.6769
2022-08-24,2.7046
2022-08-25,2.7178
2022-08-26,2.7577
2022-08-29,2.809
2022-08-30,2.8252
2022-08-31,2.8197
2022-09-01,2.8451
2022-09-02,2.8433
2022-09-06,2.9008
2022-09-07,2.9098
2022-09-08,2.9295
2022-09-09,2.9631
2022-09-12,3.0151
2022-09-13,3.1267
2022-09-14,3.1424
2022-09-15,3.1376
2022-09-16,3.1193
2022-09-19,3.1563
2022-09-20,3.1616
2022-09-21,3.1731
2022-09-22,3.1502
2022-09-23,3.1537
2022-09-26,3.2041
2022-09-27,3.2043
2022-09-28,3.1846
2022-09-29,3.1918
2022-09-30,3.2216
2022-10-03,3.2402
2022-10-04,3.2533
2022-10-05,3.2621
2022-10-06,3.3126
2022-10-07,3.3605
2022-10-11,3.4364
2022-10-12,3.4766
2022-10-13,3.5779
2022-10-14,3.6199
2022-10-17,3.7103
2022-10-18,3.7738
2022-10-19,3.8675
2022-10-20,3.8854
2022-10-21,3.8964
2022-10-24,3.9502
2022-10-25,3.9627
2022-10-26,3.974
2022-10-27,4
2022-10-28,4.0349
2022-10-31,4.0882
2022-11-01,4.0963
2022-11-02,4.0966
2022-11-03,4.0844
2022-11-04,4.0856
2022-11-07,4.1036
2022-11-08,4.1067
2022-11-09,4.1107
2022-11-10,4.1069
2022-11-14,4.1278
2022-11-15,4.1428
2022-11-16,4.1646
2022-11-17,4.1806
2022-11-18,4.2087
2022-11-21,4.234
2022-11-22,4.2401
2022-11-23,4.2555
2022-11-25,4.2624
2022-11-28,4.2906
2022-11-29,4.2906
2022-11-30,4.2906
2022-12-01,4.2514
2022-12-02,4.2562
2022-12-05,4.2663
2022-12-06,4.2489
2022-12-07,4.2114
2022-12-08,4.18
2022-12-09,4.2153
2022-12-12,4.2495
2022-12-13,4.245
2022-12-14,4.2641
2022-12-15,4.2663
2022-12-16,4.2517
2022-12-19,4.2803
2022-12-20,4.267
2022-12-21,4.2567
2022-12-22,4.2607
2022-12-23,4.2707
2022-12-27,4.298
2022-12-28,4.3094
2022-12-29,4.3299
2022-12-30,4.3802
2023-01-03,4.4239
2023-01-04,4.4621
2023-01-05,4.541
2023-01-06,4.5731
2023-01-09,4.5932
2023-01-10,4.6244
2023-01-11,4.6436
2023-01-12,4.5857
2023-01-13,4.6023
2023-01-17,4.6208
2023-01-18,4.614
2023-01-19,4.6235
2023-01-20,4.6319
2023-01-23,4.6384
2023-01-24,4.6402
2023-01-25,4.6354
2023-01-26,4.6415
2023-01-27,4.6489
2023-01-30,4.6564
2023-01-31,4.6501
2023-02-01,4.6314
2023-02-02,4.618
2023-02-03,4.6389
2023-02-06,4.655
2023-02-07,4.659
2023-02-08,4.6752
2023-02-09,4.7092
2023-02-10,4.7311
2023-02-13,4.7558
2023-02-14,4.7567
2023-02-15,4.7556
2023-02-16,4.7756
2023-02-17,4.7808
2023-02-21,4.7946
2023-02-22,4.7941
2023-02-23,4.7909
2023-02-24,4.8002
2023-02-27,4.8036
2023-02-28,4.7974
2023-03-01,4.8061
2023-03-02,4.8052
2023-03-03,4.8084
2023-03-06,4.8263
2023-03-07,4.912
2023-03-08,4.9444
2023-03-09,4.941
2023-03-10,4.9065
2023-03-13,4.7463
2023-03-14,4.8016
2023-03-15,4.6722
2023-03-16,4.689
2023-03-17,4.5523
2023-03-20,4.6383
2023-03-21,4.6413
2023-03-22,4.678
2023-03-23,4.6349
2023-03-24,4.6203
2023-03-27,4.6818
2023-03-28,4.6542
2023-03-29,4.675
2023-03-30,4.7491
2023-03-31,4.7692
2023-04-03,4.7847
2023-04-04,4.7608
2023-04-05,4.754
2023-04-06,4.7912
2023-04-07,4.8499
2023-04-10,4.9178
2023-04-11,4.9069
2023-04-12,4.9162
2023-04-13,4.9147
2023-04-14,4.9506
2023-04-17,5.0246
2023-04-18,5.017
2023-04-19,5.0125
2023-04-20,4.9889
2023-04-21,5.0088
2023-04-24,5.0203
2023-04-25,5.0023
2023-04-26,5.0339
2023-04-27,5.0614
2023-04-28,5.0712
2023-05-01,5.0754
2023-05-02,5.1304
2023-05-03,5.1521
2023-05-04,5.1745
2023-05-05,5.1998
2023-05-08,5.1932
2023-05-09,5.2054
2023-05-10,5.1557
2023-05-11,5.0911
2023-05-12,5.1002
2023-05-15,5.1134
2023-05-16,5.1213
2023-05-17,5.1471
2023-05-18,5.194
2023-05-19,5.227
2023-05-22,5.2576
2023-05-23,5.2252
2023-05-24,5.2472
2023-05-25,5.2521
2023-05-26,5.2373
2023-05-30,5.2779
2023-05-31,5.2746
2023-06-01,5.2808
2023-06-02,5.3066
2023-06-05,5.2897
2023-06-06,5.2616
2023-06-07,5.2571
2023-06-08,5.2527
2023-06-09,5.2603
2023-06-12,5.2667
2023-06-13,5.233
2023-06-14,5.2218
2023-06-15,5.2043
2023-06-16,5.2171
2023-06-20,5.2294
2023-06-21,5.2464
2023-06-22,5.2539
2023-06-23,5.2666
2023-06-26,5.2807
2023-06-27,5.2939
2023-06-28,5.3045
2023-06-29,5.3339
2023-06-30,5.3225
2023-07-03,5.3283
2023-07-05,5.3287
2023-07-06,5.349
2023-07-07,5.3558
2023-07-10,5.3723
2023-07-11,5.3741
2023-07-12,5.3702
2023-07-13,5.3786
2023-07-14,5.3848
2023-07-17,5.3903
2023-07-18,5.3923
2023-07-19,5.3934
2023-07-20,5.3958
2023-07-21,5.4033
2023-07-24,5.414
2023-07-25,5.4197
2023-07-26,5.4267
2023-07-27,5.4283
2023-07-28,5.4252
2023-07-31,5.424
2023-08-01,5.4189
2023-08-02,5.4175
2023-08-03,5.4223
2023-08-04,5.4149
