date,/SRAU3,dd,mm,yyyy
2023-04-18,95.135,18,4,2023
2023-04-17,95.16,17,4,2023
2023-04-14,95.225,14,4,2023
2023-04-13,95.375,13,4,2023
2023-04-12,95.375,12,4,2023
2023-04-11,95.305,11,4,2023
2023-04-10,95.305,10,4,2023
2023-04-07,95.35,7,4,2023
2023-04-06,95.54,6,4,2023
2023-04-05,95.635,5,4,2023
2023-04-04,95.55,4,4,2023
2023-04-03,95.38,3,4,2023
2023-03-31,95.395,31,3,2023
2023-03-30,95.4,30,3,2023
2023-03-29,95.44,29,3,2023
2023-03-28,95.485,28,3,2023
2023-03-27,95.545,27,3,2023
2023-03-24,95.785,24,3,2023
2023-03-23,95.76,23,3,2023
2023-03-22,95.505,22,3,2023
2023-03-21,95.4,21,3,2023
2023-03-20,95.83,20,3,2023
2023-03-17,95.96,17,3,2023
2023-03-16,95.615,16,3,2023
2023-03-15,95.985,15,3,2023
2023-03-14,95.635,14,3,2023
2023-03-13,95.885,13,3,2023
2023-03-10,94.875,10,3,2023
2023-03-09,94.43,9,3,2023
2023-03-08,94.305,8,3,2023
2023-03-07,94.355,7,3,2023
2023-03-06,94.535,6,3,2023
2023-03-03,94.565,3,3,2023
2023-03-02,94.55,2,3,2023
2023-03-01,94.535,1,3,2023
2023-02-28,94.595,28,2,2023
2023-02-27,94.595,27,2,2023
2023-02-24,94.595,24,2,2023
2023-02-23,94.665,23,2,2023
2023-02-22,94.645,22,2,2023
2023-02-21,94.65,21,2,2023
2023-02-17,94.74,17,2,2023
2023-02-16,94.8,16,2,2023
2023-02-15,94.78,15,2,2023
2023-02-14,94.74,14,2,2023
2023-02-13,94.85,13,2,2023
2023-02-10,94.87,10,2,2023
2023-02-09,94.9,9,2,2023
2023-02-08,94.94,8,2,2023
2023-02-07,94.935,7,2,2023
2023-02-06,94.96,6,2,2023
2023-02-03,95.115,3,2,2023
2023-02-02,95.33,2,2,2023
2023-02-01,95.315,1,2,2023
2023-01-31,95.26,31,1,2023
2023-01-30,95.225,30,1,2023
2023-01-27,95.265,27,1,2023
2023-01-26,95.285,26,1,2023
2023-01-25,95.315,25,1,2023
2023-01-24,95.255,24,1,2023
2023-01-23,95.24,23,1,2023
2023-01-20,95.285,20,1,2023
2023-01-19,95.315,19,1,2023
2023-01-18,95.36,18,1,2023
2023-01-17,95.295,17,1,2023
2023-01-13,95.24,13,1,2023
2023-01-12,95.315,12,1,2023
2023-01-11,95.275,11,1,2023
2023-01-10,95.26,10,1,2023
2023-01-09,95.295,9,1,2023
2023-01-06,95.24,6,1,2023
2023-01-05,95.105,5,1,2023
2023-01-04,95.185,4,1,2023
2023-01-03,95.2,3,1,2023
2022-12-30,95.185,30,12,2022
2022-12-29,95.23,29,12,2022
2022-12-28,95.23,28,12,2022
2022-12-27,95.21,27,12,2022
2022-12-23,95.305,23,12,2022
2022-12-22,95.355,22,12,2022
2022-12-21,95.4,21,12,2022
2022-12-20,95.35,20,12,2022
2022-12-19,95.345,19,12,2022
2022-12-16,95.405,16,12,2022
2022-12-15,95.32,15,12,2022
2022-12-14,95.36,14,12,2022
2022-12-13,95.37,13,12,2022
2022-12-12,95.19,12,12,2022
2022-12-09,95.235,9,12,2022
2022-12-08,95.255,8,12,2022
2022-12-07,95.315,7,12,2022
2022-12-06,95.225,6,12,2022
2022-12-05,95.17,5,12,2022
2022-12-02,95.31,2,12,2022
2022-12-01,95.355,1,12,2022
2022-11-30,95.26,30,11,2022
2022-11-29,95.145,29,11,2022
2022-11-28,95.155,28,11,2022
2022-11-25,95.145,25,11,2022
2022-11-23,95.14,23,11,2022
2022-11-22,95.105,22,11,2022
2022-11-21,95.11,21,11,2022
2022-11-18,95.155,18,11,2022
2022-11-17,95.235,17,11,2022
2022-11-16,95.33,16,11,2022
2022-11-15,95.345,15,11,2022
2022-11-14,95.3,14,11,2022
2022-11-11,95.37,11,11,2022
2022-11-10,95.415,10,11,2022
2022-11-09,95.1,9,11,2022
2022-11-08,95.055,8,11,2022
2022-11-07,94.99,7,11,2022
2022-11-04,95.055,4,11,2022
2022-11-03,94.98,3,11,2022
2022-11-02,95.115,2,11,2022
2022-11-01,95.19,1,11,2022
2022-10-31,95.26,31,10,2022
2022-10-28,95.355,28,10,2022
2022-10-27,95.495,27,10,2022
2022-10-26,95.375,26,10,2022
2022-10-25,95.29,25,10,2022
2022-10-24,95.26,24,10,2022
2022-10-21,95.265,21,10,2022
2022-10-20,95.115,20,10,2022
2022-10-19,95.21,19,10,2022
2022-10-18,95.325,18,10,2022
2022-10-17,95.28,17,10,2022
2022-10-14,95.23,14,10,2022
2022-10-13,95.32,13,10,2022
2022-10-12,95.535,12,10,2022
2022-10-11,95.5,11,10,2022
2022-10-10,95.445,10,10,2022
2022-10-07,95.49,7,10,2022
2022-10-06,95.59,6,10,2022
2022-10-05,95.705,5,10,2022
2022-10-04,95.78,4,10,2022
2022-10-03,95.765,3,10,2022
2022-09-30,95.68,30,9,2022
2022-09-29,95.705,29,9,2022
2022-09-28,95.765,28,9,2022
2022-09-27,95.525,27,9,2022
2022-09-26,95.405,26,9,2022
2022-09-23,95.445,23,9,2022
2022-09-22,95.54,22,9,2022
2022-09-21,95.72,21,9,2022
2022-09-20,95.795,20,9,2022
2022-09-19,95.805,19,9,2022
2022-09-16,95.905,16,9,2022
2022-09-15,95.86,15,9,2022
2022-09-14,95.98,14,9,2022
2022-09-13,96.045,13,9,2022
2022-09-12,96.255,12,9,2022
2022-09-09,96.25,9,9,2022
2022-09-08,96.33,8,9,2022
2022-09-07,96.37,7,9,2022
2022-09-06,96.295,6,9,2022
2022-09-02,96.42,2,9,2022
2022-09-01,96.265,1,9,2022
2022-08-31,96.335,31,8,2022
2022-08-30,96.32,30,8,2022
2022-08-29,96.38,29,8,2022
2022-08-26,96.44,26,8,2022
2022-08-25,96.475,25,8,2022
2022-08-24,96.465,24,8,2022
2022-08-23,96.51,23,8,2022
2022-08-22,96.45,22,8,2022
2022-08-19,96.58,19,8,2022
2022-08-18,96.625,18,8,2022
2022-08-17,96.58,17,8,2022
2022-08-16,96.665,16,8,2022
2022-08-15,96.71,15,8,2022
2022-08-12,96.645,12,8,2022
2022-08-11,96.705,11,8,2022
2022-08-10,96.765,10,8,2022
2022-08-09,96.72,9,8,2022
2022-08-08,96.805,8,8,2022
2022-08-05,96.77,5,8,2022
2022-08-04,97.01,4,8,2022
2022-08-03,96.905,3,8,2022
2022-08-02,96.97,2,8,2022
2022-08-01,97.185,1,8,2022
2022-07-29,97.21,29,7,2022
2022-07-28,97.235,28,7,2022
2022-07-27,97.12,27,7,2022
2022-07-26,97.065,26,7,2022
2022-07-25,97.085,25,7,2022
2022-07-22,97.155,22,7,2022
2022-07-21,97,21,7,2022
2022-07-20,96.795,20,7,2022
2022-07-19,96.8,19,7,2022
2022-07-18,96.9,18,7,2022
2022-07-15,96.92,15,7,2022
2022-07-14,96.905,14,7,2022
2022-07-13,96.955,13,7,2022
2022-07-12,97,12,7,2022
2022-07-11,96.935,11,7,2022
2022-07-08,96.825,8,7,2022
2022-07-07,96.935,7,7,2022
2022-07-06,97.045,6,7,2022
2022-07-05,97.23,5,7,2022
2022-07-01,97.16,1,7,2022
2022-06-30,97.015,30,6,2022
2022-06-29,96.805,29,6,2022
2022-06-28,96.705,28,6,2022
2022-06-27,96.71,27,6,2022
2022-06-24,96.765,24,6,2022
2022-06-23,96.795,23,6,2022
2022-06-22,96.68,22,6,2022
2022-06-21,96.495,21,6,2022
2022-06-17,96.47,17,6,2022
2022-06-16,96.465,16,6,2022
2022-06-15,96.385,15,6,2022
2022-06-14,96.175,14,6,2022
2022-06-13,96.19,13,6,2022
2022-06-10,96.46,10,6,2022
2022-06-09,96.71,9,6,2022
2022-06-08,96.795,8,6,2022
2022-06-07,96.835,7,6,2022
2022-06-06,96.805,6,6,2022
2022-06-03,96.89,3,6,2022
2022-06-02,96.95,2,6,2022
2022-06-01,96.93,1,6,2022
2022-05-31,97.105,31,5,2022
2022-05-27,97.165,27,5,2022
2022-05-26,97.195,26,5,2022
2022-05-25,97.215,25,5,2022
2022-05-24,97.205,24,5,2022
2022-05-23,97.045,23,5,2022
2022-05-20,97.09,20,5,2022
2022-05-19,97.02,19,5,2022
