sep=,
"Date","Open(Q.SR1M)","High(Q.SR1M)","Low(Q.SR1M)","Last(Q.SR1M)"
"22/4/2019","","","","2.4472"
"23/4/2019","","","","2.4525"
"24/4/2019","","","","2.4468"
"25/4/2019","","","","2.4452"
"26/4/2019","","","","2.4495"
"29/4/2019","","","","2.4523"
"30/4/2019","","","","2.4527"
"1/5/2019","","","","2.4513"
"2/5/2019","","","","2.4552"
"3/5/2019","","","","2.4456"
"6/5/2019","","","","2.4355"
"7/5/2019","","","","2.4279"
"8/5/2019","","","","2.4312"
"9/5/2019","","","","2.436"
"10/5/2019","","","","2.4256"
"13/5/2019","","","","2.4199"
"14/5/2019","","","","2.4153"
"15/5/2019","","","","2.4267"
"16/5/2019","","","","2.4408"
"17/5/2019","","","","2.4428"
"20/5/2019","","","","2.4364"
"21/5/2019","","","","2.4447"
"22/5/2019","","","","2.4429"
"23/5/2019","","","","2.4442"
"24/5/2019","","","","2.4456"
"28/5/2019","","","","2.4505"
"29/5/2019","","","","2.4545"
"30/5/2019","","","","2.4597"
"31/5/2019","","","","2.4584"
"3/6/2019","","","","2.4466"
"4/6/2019","","","","2.4319"
"5/6/2019","","","","2.4235"
"6/6/2019","","","","2.4049"
"7/6/2019","","","","2.4065"
"10/6/2019","","","","2.3943"
"11/6/2019","","","","2.4082"
"12/6/2019","","","","2.4128"
"13/6/2019","","","","2.3957"
"14/6/2019","","","","2.3861"
"17/6/2019","","","","2.3769"
"18/6/2019","","","","2.3756"
"19/6/2019","","","","2.3714"
"20/6/2019","","","","2.3695"
"21/6/2019","","","","2.4055"
"24/6/2019","","","","2.4113"
"25/6/2019","","","","2.4134"
"26/6/2019","","","","2.4137"
"27/6/2019","","","","2.4151"
"28/6/2019","","","","2.4007"
"1/7/2019","","","","2.3576"
"2/7/2019","","","","2.3633"
"3/7/2019","","","","2.3503"
"5/7/2019","","","","2.338"
"8/7/2019","","","","2.3397"
"9/7/2019","","","","2.3278"
"10/7/2019","","","","2.3411"
"11/7/2019","","","","2.2947"
"12/7/2019","","","","2.2784"
"15/7/2019","","","","2.2567"
"16/7/2019","","","","2.2511"
"17/7/2019","","","","2.2583"
"18/7/2019","","","","2.2407"
"19/7/2019","","","","2.2241"
"22/7/2019","","","","2.2046"
"23/7/2019","","","","2.2276"
"24/7/2019","","","","2.2274"
"25/7/2019","","","","2.2049"
"26/7/2019","","","","2.2062"
"29/7/2019","","","","2.205"
"30/7/2019","","","","2.183"
"31/7/2019","","","","2.1886"
"1/8/2019","","","","2.1851"
"2/8/2019","","","","2.22"
"5/8/2019","","","","2.2079"
"6/8/2019","","","","2.1977"
"7/8/2019","","","","2.1899"
"8/8/2019","","","","2.176"
"9/8/2019","","","","2.1794"
"12/8/2019","","","","2.1827"
"13/8/2019","","","","2.1937"
"14/8/2019","","","","2.1944"
"15/8/2019","","","","2.1927"
"16/8/2019","","","","2.1723"
"19/8/2019","","","","2.1452"
